BIPA	GRAPHEME	COUNT	SYMBOLS
jː	jː	5	◌j ◌ː
k	k	206	◌k
kʰ	kʰ	74	◌k ◌ʰ
kʲ	kʲ	5	◌k ◌ʲ
kʷ	kʷ	9	◌k ◌ʷ
kʼ	kʼ	1	◌k ◌ʼ
kː	kː	27	◌k ◌ː
l	l	176	◌l
lʰ	lʰ	2	◌l ◌ʰ
lʲ	lʲ	1	◌l ◌ʲ
lː	lː	15	◌l ◌ː
lˠ	lˠ	8	◌l ◌ˠ
l̩	l̩	2	◌l ◌̩
m	m	206	◌m
mʰ	mʰ	6	◌m ◌ʰ
mʲ	mʲ	3	◌m ◌ʲ
mː	mː	18	◌m ◌ː
m̥	m̥	3	◌m ◌̥
m̩	m̩	11	◌m ◌̩
n	n	204	◌n
nʰ	nʰ	6	◌n ◌ʰ
nʲ	nʲ	28	◌n ◌ʲ
nː	nː	27	◌n ◌ː
n̥	n̥	2	◌n ◌̥
n̩	n̩	7	◌n ◌̩
n̪	n̪	1	◌n ◌̪
o	o	187	◌o
oi	oi	11	◌o ◌i
ou	ou	8	◌o ◌u
oə	oə	1	◌o ◌ə
oː	oː	67	◌o ◌ː
o̞	o̞	1	◌o ◌̞
o̤	o̤	3	◌o ◌̤
o̤ː	o̤ː	6	◌o ◌̤ ◌ː
o̯a	o̯a	2	◌o ◌̯ ◌a
o̰	o̰	1	◌o ◌̰
p	p	194	◌p
pf	pf	3	◌p ◌f
pfʰ	pfʰ	1	◌p ◌f ◌ʰ
pˢ	ps	5	◌p ◌ˢ
pʰ	pʰ	64	◌p ◌ʰ
pʲ	pʲ	2	◌p ◌ʲ
pʼ	pʼ	1	◌p ◌ʼ
pː	pː	13	◌p ◌ː
q	q	15	◌q
qʰ	qʰ	5	◌q ◌ʰ
qʷ	qʷ	4	◌q ◌ʷ
r	r	162	◌r
rʰ	rʰ	4	◌r ◌ʰ
rʲ	rʲ	2	◌r ◌ʲ
rː	rː	9	◌r ◌ː
r̩	r̩	1	◌r ◌̩
s	s	202	◌s
sʰ	sʰ	1	◌s ◌ʰ
sʲ	sʲ	7	◌s ◌ʲ
sː	sː	28	◌s ◌ː
t	t	205	◌t
ts	ts	89	◌t ◌s
tsʰ	tsʰ	46	◌t ◌s ◌ʰ
tɕ	tɕ	59	◌t ◌ɕ
tɕʰ	tɕʰ	38	◌t ◌ɕ ◌ʰ
ʈʂ	tʂ	5	◌ʈ ◌ʂ
tʃ	tʃ	70	◌t ◌ʃ
tʃʰ	tʃʰ	4	◌t ◌ʃ ◌ʰ
tʰ	tʰ	62	◌t ◌ʰ
tʲ	tʲ	17	◌t ◌ʲ
tʼ	tʼ	1	◌t ◌ʼ
tː	tː	31	◌t ◌ː
tsː	tːs	16	◌t ◌s ◌ː
tɕː	tːɕ	6	◌t ◌ɕ ◌ː
tʃː	tːʃ	9	◌t ◌ʃ ◌ː
t̪	t̪	1	◌t ◌̪
t̪ʰ	t̪ʰ	1	◌t ◌̪ ◌ʰ
u	u	192	◌u
ua	ua	7	◌u ◌a
ui	ui	20	◌u ◌i
uo	uo	5	◌u ◌o
uə	uə	1	◌u ◌ə
uː	uː	75	◌u ◌ː
v	v	85	◌v
vʲ	vʲ	3	◌v ◌ʲ
vː	vː	2	◌v ◌ː
w	w	172	◌w
wʰ	wʰ	1	◌w ◌ʰ
w̃	w̃	1	◌w ◌̃
x	x	46	◌x
y	y	58	◌y
yi	yi	1	◌y ◌i
yː	yː	13	◌y ◌ː
z	z	99	◌z
zʰ	zʰ	1	◌z ◌ʰ
zʲ	zʲ	2	◌z ◌ʲ
²	²	7	◌²
²²	²²	8	◌² ◌²
²³	²³	6	◌² ◌³
²¹	²¹	29	◌² ◌¹
²¹²	²¹²	4	◌² ◌¹ ◌²
²¹³	²¹³	9	◌² ◌¹ ◌³
²¹⁴	²¹⁴	2	◌² ◌¹ ◌⁴
²⁴	²⁴	17	◌² ◌⁴
²⁴²	²⁴²	1	◌² ◌⁴ ◌²
³	³	4	◌³
³²	³²	2	◌³ ◌²
³²⁴	³²⁴	1	◌³ ◌² ◌⁴
³³	³³	19	◌³ ◌³
³¹	³¹	18	◌³ ◌¹
³¹³	³¹³	1	◌³ ◌¹ ◌³
³⁴	³⁴	2	◌³ ◌⁴
³⁵	³⁵	15	◌³ ◌⁵
¹	¹	4	◌¹
¹²	¹²	4	◌¹ ◌²
¹³	¹³	10	◌¹ ◌³
¹¹	¹¹	6	◌¹ ◌¹
¹⁵	¹⁵	1	◌¹ ◌⁵
ã	ã	27	◌a ◌̃
ãː	ãː	2	◌a ◌̃ ◌ː
æ	æ	30	◌æ
æu	æu	2	◌æ ◌u
æɨ	æɨ	3	◌æ ◌ɨ
æː	æː	20	◌æ ◌ː
æ̃	æ̃	6	◌æ ◌̃
ç	ç	12	◌c ◌̧
ð	ð	17	◌ð
õ	õ	17	◌o ◌̃
õ̰	õ̰	1	◌o ◌̰ ◌̃
ø	ø	16	◌ø
øː	øː	5	◌ø ◌ː
ă	ă	3	◌a ◌̆
ħ	ħ	1	◌ħ
ĩ	ĩ	17	◌i ◌̃
ĩː	ĩː	1	◌i ◌̃ ◌ː
ĩ̤	ĩ̤	1	◌i ◌̤ ◌̃
ŋ	ŋ	186	◌ŋ
ŋʰ	ŋʰ	8	◌ŋ ◌ʰ
ŋʷ	ŋʷ	4	◌ŋ ◌ʷ
ŋː	ŋː	5	◌ŋ ◌ː
ŋ̊	ŋ̊	1	◌ŋ ◌̊
ŋ̍	ŋ̍	10	◌ŋ ◌̍
œ	œ	23	◌œ
œi	œi	1	◌œ ◌i
œː	œː	8	◌œ ◌ː
œ̃	œ̃	1	◌œ ◌̃
œ̃ː	œ̃ː	1	◌œ ◌̃ ◌ː
ʃ	š	22	◌ʃ
ũ	ũ	11	◌u ◌̃
ɐ	ɐ	10	◌ɐ
ɐː	ɐː	1	◌ɐ ◌ː
ɐ̃	ɐ̃	1	◌ɐ ◌̃
ɐ̯	ɐ̯	2	◌ɐ ◌̯
ɑ	ɑ	26	◌ɑ
ɑː	ɑː	9	◌ɑ ◌ː
ɑ̃	ɑ̃	8	◌ɑ ◌̃
ɑ̃ː	ɑ̃ː	1	◌ɑ ◌̃ ◌ː
ɑ̤ː	ɑ̤ː	1	◌ɑ ◌̤ ◌ː
ɒ	ɒ	5	◌ɒ
ɒː	ɒː	1	◌ɒ ◌ː
ɒ̃	ɒ̃	1	◌ɒ ◌̃
ɓ	ɓ	9	◌ɓ
ɔ	ɔ	106	◌ɔ
ɔi	ɔi	3	◌ɔ ◌i
ɔu	ɔu	7	◌ɔ ◌u
ɔː	ɔː	45	◌ɔ ◌ː
ɔ̃	ɔ̃	5	◌ɔ ◌̃
ɔ̃ː	ɔ̃ː	1	◌ɔ ◌̃ ◌ː
ɔ̤	ɔ̤	3	◌ɔ ◌̤
ɔ̤ː	ɔ̤ː	2	◌ɔ ◌̤ ◌ː
ɔ̰	ɔ̰	1	◌ɔ ◌̰
ɕ	ɕ	55	◌ɕ
ɕʰ	ɕʰ	1	◌ɕ ◌ʰ
ɖ	ɖ	5	◌ɖ
ɖʐ	ɖʐ	2	◌ɖ ◌ʐ
ɖʰ	ɖʰ	1	◌ɖ ◌ʰ
ɖː	ɖː	7	◌ɖ ◌ː
ɖʱ	ɖ̤	3	◌ɖ ◌ʱ
ɗ	ɗ	10	◌ɗ
ɗ̥	ɗ̥	1	◌ɗ ◌̥
ə	ə	110	◌ə
əi	əi	4	◌ə ◌i
əu	əu	4	◌ə ◌u
əː	əː	25	◌ə ◌ː
ə˞	ə˞	10	◌ə ◌˞
ə̃	ə̃	8	◌ə ◌̃
ə̃˞	ə̃˞	4	◌ə ◌̃ ◌˞
ə̠	ə̠	1	◌ə ◌̠
ə̤	ə̤	4	◌ə ◌̤
ə̤ː	ə̤ː	1	◌ə ◌̤ ◌ː
ɛ	ɛ	99	◌ɛ
ɛi	ɛi	3	◌ɛ ◌i
ɛu	ɛu	1	◌ɛ ◌u
ɛː	ɛː	30	◌ɛ ◌ː
ɛ̃	ɛ̃	10	◌ɛ ◌̃
ɛ̤	ɛ̤	2	◌ɛ ◌̤
ɛ̰	ɛ̰	1	◌ɛ ◌̰
ɜ	ɜ	1	◌ɜ
ɜː	ɜː	1	◌ɜ ◌ː
ɞ	ɞ	1	◌ɞ
ɟ	ɟ	22	◌ɟ
ɟʰ	ɟʰ	2	◌ɟ ◌ʰ
g	ɡ	137	◌g
gʰ	ɡʰ	4	◌g ◌ʰ
gʲ	ɡʲ	1	◌g ◌ʲ
gː	ɡː	5	◌g ◌ː
gʱ	ɡ̤	3	◌g ◌ʱ
g̊	ɡ̥	2	◌g ◌̊
ɢ	ɢ	1	◌ɢ
ɣ	ɣ	46	◌ɣ
ɣʷ	ɣʷ	4	◌ɣ ◌ʷ
ɤ	ɤ	19	◌ɤ
ɤː	ɤː	2	◌ɤ ◌ː
ɤ̃	ɤ̃	3	◌ɤ ◌̃
ɥ	ɥ	19	◌ɥ
ɦ	ɦ	6	◌ɦ
ɧ	ɧ	1	◌ɧ
ɨ	ɨ	36	◌ɨ
ɨː	ɨː	23	◌ɨ ◌ː
ɨ̤	ɨ̤	2	◌ɨ ◌̤
ɨ̤ː	ɨ̤ː	2	◌ɨ ◌̤ ◌ː
ɪ	ɪ	14	◌ɪ
ɪː	ɪː	3	◌ɪ ◌ː
ɪ̃	ɪ̃	1	◌ɪ ◌̃
ɬ	ɬ	6	◌ɬ
ɬː	ɬː	3	◌ɬ ◌ː
ɭ	ɭ	13	◌ɭ
ɭː	ɭː	2	◌ɭ ◌ː
ɯ	ɯ	21	◌ɯ
ɯː	ɯː	4	◌ɯ ◌ː
ɯ̃	ɯ̃	3	◌ɯ ◌̃
ɲ	ɲ	95	◌ɲ
ɲʰ	ɲʰ	2	◌ɲ ◌ʰ
ɲː	ɲː	8	◌ɲ ◌ː
ɲ̊	ɲ̊	1	◌ɲ ◌̊
ɳ	ɳ	13	◌ɳ
ɳː	ɳː	5	◌ɳ ◌ː
ɴ	ɴ	10	◌ɴ
ɴ̩	ɴ̩	2	◌ɴ ◌̩
ɵ	ɵ	3	◌ɵ
ɵː	ɵː	1	◌ɵ ◌ː
ɶ	ɶ	1	◌ɶ
ɸ	ɸ	2	◌ɸ
ɺ	ɺ	1	◌ɺ
ɽ	ɽ	7	◌ɽ
ɽʰ	ɽʰ	1	◌ɽ ◌ʰ
ɾ	ɾ	21	◌ɾ
ɿ	ɿ	32	◌ɿ
ʀ	ʀ	3	◌ʀ
ʁ	ʁ	8	◌ʁ
ʂ	ʂ	23	◌ʂ
ʂʰ	ʂʰ	1	◌ʂ ◌ʰ
ʃ	ʃ	33	◌ʃ
ʃː	ʃː	14	◌ʃ ◌ː
ʅ	ʅ	9	◌ʅ
ʈ	ʈ	10	◌ʈ
ʈʂ	ʈʂ	9	◌ʈ ◌ʂ
ʈʂʰ	ʈʂʰ	14	◌ʈ ◌ʂ ◌ʰ
ʈʰ	ʈʰ	5	◌ʈ ◌ʰ
ʈː	ʈː	1	◌ʈ ◌ː
ʉ	ʉ	4	◌ʉ
ʉː	ʉː	1	◌ʉ ◌ː
ʊ	ʊ	11	◌ʊ
ʊː	ʊː	1	◌ʊ ◌ː
ʊ̃	ʊ̃	3	◌ʊ ◌̃
ʌ	ʌ	7	◌ʌ
ʌː	ʌː	3	◌ʌ ◌ː
ʌ̃	ʌ̃	1	◌ʌ ◌̃
ʎ	ʎ	35	◌ʎ
ʎː	ʎː	5	◌ʎ ◌ː
ʏ	ʏ	4	◌ʏ
ʏː	ʏː	1	◌ʏ ◌ː
ʐ	ʐ	15	◌ʐ
ʑ	ʑ	8	◌ʑ
ʒ	ʒ	31	◌ʒ
ʔ	ʔ	58	◌ʔ
ʕ	ʕ	1	◌ʕ
ʝ	ʝ	2	◌ʝ
ʮ	ʮ	1	◌ʮ
β	β	14	◌β
θ	θ	10	◌θ
χ	χ	20	◌χ
χʷ	χʷ	5	◌χ ◌ʷ
ⁿb	ᵐb	2	◌ⁿ ◌b
ⁿp	ᵐp	1	◌ⁿ ◌p
ḛ	ḛ	1	◌e ◌̰
ḭ	ḭ	1	◌i ◌̰
ṳ	ṳ	6	◌u ◌̤
ṳː	ṳː	7	◌u ◌̤ ◌ː
ṵ	ṵ	1	◌u ◌̰
ẽ	ẽ	21	◌e ◌̃
ẽː	ẽː	1	◌e ◌̃ ◌ː
ẽ̤ː	ẽ̤ː	1	◌e ◌̤ ◌̃ ◌ː
ỹ	ỹ	1	◌y ◌̃
ỹː	ỹː	1	◌y ◌̃ ◌ː
⁰	⁰	19	◌⁰
⁴	⁴	7	◌⁴
⁴²	⁴²	16	◌⁴ ◌²
⁴³	⁴³	2	◌⁴ ◌³
⁴¹	⁴¹	5	◌⁴ ◌¹
⁴⁴	⁴⁴	20	◌⁴ ◌⁴
⁴⁴³	⁴⁴³	1	◌⁴ ◌⁴ ◌³
⁴⁴⁵	⁴⁴⁵	1	◌⁴ ◌⁴ ◌⁵
⁴⁵	⁴⁵	5	◌⁴ ◌⁵
⁴⁵⁴	⁴⁵⁴	1	◌⁴ ◌⁵ ◌⁴
⁵	⁵	10	◌⁵
⁵²	⁵²	2	◌⁵ ◌²
⁵³	⁵³	20	◌⁵ ◌³
⁵¹	⁵¹	5	◌⁵ ◌¹
⁵¹³	⁵¹³	1	◌⁵ ◌¹ ◌³
⁵⁴	⁵⁴	1	◌⁵ ◌⁴
⁵⁵	⁵⁵	31	◌⁵ ◌⁵
ⁿt	ⁿt	1	◌ⁿ ◌t
∼	∼	22	
